,Unnamed: 0,postcode_area,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,long,lat,period_inflation_rate,period_inflation_rate_pc
1751,1753,SE1,0.1125253960363656,0.1149731472397285,0.1163626592390383,0.1108034942369479,0.1110671067890568,0.1063311194276098,0.0991817018211738,0.0936344653395774,0.0887672074277599,0.0853594176738924,0.0817443689726055,0.0806329022411382,0.0772831199618912,0.0718484626927689,0.0720537058401028,0.0706875934310123,0.069732647206717,0.0694998968716947,0.0692736731875737,0.0665670823047286,0.0649411270406281,0.0557455748153297,0.0509583278769013,0.047615370939887,0.0472018821470967,0.0522994476581758,0.0465254757709054,0.0548701328302487,0.0371550937113623,0.0355544623577856,-0.0901354357366771,51.498968495506794,9.47,9.47%
1752,1754,SE10,0.1198353611742731,0.1212302355342137,0.1208629048312721,0.1170969798653913,0.1161346988134545,0.1072713034799567,0.1020510385901469,0.0946199234196613,0.0880033462479489,0.081200555688821,0.0763264297939426,0.0738146371033406,0.0689547225098693,0.0644816823161814,0.0636311131778339,0.0635929749026015,0.0631259797106404,0.0651102294228651,0.0664058592714234,0.0638235025079697,0.0804166196843599,1.2095959071617184,0.0508322509814714,0.0463908996836103,0.0424605673729965,0.0408099741465285,0.0370119243025788,0.033967978249248,0.0264766744530298,0.0234252804865323,-0.0014908179498085,51.48325677179923,9.46,9.46%
1753,1755,SE11,0.1272532996797747,0.1735828380091024,0.1533096144373956,0.1430512374713287,0.1158825664525043,0.110291370062727,0.1066260094447789,0.098904848872309,0.0930676650618493,0.0893618132907874,0.0858506245515678,0.0828838631460922,0.078717546106927,0.0746805213900668,0.074098091289358,0.0741826684315588,0.0735867361457743,0.0726550394511206,0.0719740262649089,0.0694935433362601,0.0677252501757085,0.0560821475160044,0.0539809927123734,0.0500311224602996,0.0562588294278656,0.0580464006918999,0.0491505206259395,0.0488255595267181,0.0431721875355057,0.0385638377248758,-0.1109647498625618,51.489542894447496,9.97,9.97%
1754,1756,SE12,0.1145867322880834,0.1111330897880541,0.1163397166817465,0.1145448608492969,0.1187915812816644,0.1110357635680638,0.1028600222972275,0.0991697024101882,0.0917262142165184,0.0849818091089565,0.08216584135393,0.0764223007121655,0.071226702966004,0.0668276483156596,0.0666056809469444,0.0666045932036752,0.0672589911970253,0.0686451368420807,0.071412924768033,0.0731157862195087,0.0704449649523809,0.0662297281742918,0.0648808446954959,0.0634072226440986,0.0626651610863157,0.0641348833661409,0.0633890779955885,0.0603303703225176,0.0636665739269404,0.0524781868434386,0.0186226141888072,51.44403415884681,9.8,9.80%
1755,1757,SE13,0.1174260096532714,0.1257776429946749,0.1340216603803968,0.1591532370714534,0.1270604106279148,0.1218208489851477,0.1147110192095556,0.1082277981496094,0.097896969199341,0.0879664110840769,0.0822712872972264,0.0787406997139028,0.0739623915117507,0.069875501775632,0.0693229800260947,0.0688969162280467,0.0701840551890415,0.0709708775566464,0.072613341311443,0.0747438559834154,0.0735375890857236,0.0677469294341493,0.0669558170958495,0.0608148457183722,0.1232966311984023,0.0671685569847027,0.0698985582384079,0.0566208997113514,0.0581253437963418,0.0566382495688897,-0.00926466255478,51.45889223324136,10.61,10.61%
1756,1758,SE14,0.1016488384271014,0.1158004402273764,0.1245886355590801,0.1297903488405673,0.1281552568034848,0.1243891841728846,0.1202330522076817,0.1140842135807929,0.1037381977076832,0.0974640035231732,0.0927352895406338,0.0907212646785607,0.0830474268553317,0.0781503108351967,0.0779064701391063,0.0782207647304147,0.0784183427599956,0.0797027091461086,0.0805545540871899,0.0789334729281415,0.0794705289258559,0.0743668893547022,0.0695575530600234,0.0693872497961458,0.0653923923438224,0.0664240871794133,0.0673432188142553,0.0610445026886786,0.0497282933058424,0.0513197343315651,-0.0435748993435448,51.47583342961342,11.2,11.20%
1757,1759,SE15,0.1512047635058752,0.1547233964012015,0.1561633191202312,0.4423506543439847,0.1491843928470283,0.1373309946745713,0.1275838706595554,0.1180985872158124,0.1097107654096892,0.1027506630381231,0.0972709628361472,0.0915169486490714,0.0870297432200305,0.0818650077078211,0.0823395122266097,0.0825670352610315,0.0845143024471638,0.0850259151496789,0.0859595547943025,0.0881373009455442,0.0834888180980447,0.0782925451961337,0.0750081503776327,0.0727745820573085,0.0711418462455982,0.069685362598315,0.0642605796352302,0.0622251020721948,0.0541609540514971,0.055662759805755,-0.0640483957209636,51.46946294624235,11.91,11.91%
1758,1760,SE16,0.0920676201598414,0.0993814590385804,0.1078995118705381,0.108719311959919,0.1094023042327353,0.103102465385811,0.0977799708759148,0.0924115128262272,0.0857413778918457,0.0816178175744461,0.078130354752568,0.0757795021366671,0.0721958351193342,0.068361428349403,0.0679947779298526,0.0678433362757988,0.0681451140323898,0.0688762025255377,0.0734139059079399,0.0709438275545981,0.0666362741783707,0.066610865221313,0.0573534567361983,0.1309617162068205,0.0529475163048154,0.0530693779038913,0.0507197780182196,0.0491337052720676,0.0454470961550116,0.0406371044253163,-0.048333020214395,51.49795256477795,9.21,9.21%
1759,1761,SE17,0.1537356875079086,0.1380623511202303,0.1423217784687357,0.1528049162754386,0.1404810739013061,0.130646693335937,0.122839018486831,0.1151168976436338,0.1048399596852,0.0972212738583679,0.0909343412055934,0.0896503011018988,0.0806024953398506,0.071313874549927,0.0713782206601506,0.0718621373933898,0.0722839666689897,0.0727041421444583,0.0748606788724614,0.0753655984465833,0.0741787777560865,0.0661274519968966,0.0617294125065706,0.05707378447239,0.052533019940282,0.0484207628401622,0.0458077142374463,0.0514261918702259,0.055162292027128,0.0372452535373337,-0.0953553054956896,51.48835214978448,11.41,11.41%
1760,1762,SE18,0.132745240612619,0.1138570079089662,0.1235558675835524,0.121909762526515,0.1182394769976651,0.1160565213143161,0.1135436450049547,0.1081020584118092,0.0968831457197837,0.0872820249710713,0.0785099697998153,0.0722280091953176,0.0647835848143741,0.0593951533300867,0.0586029846643154,0.0585419941402256,0.0592818540639177,0.0611643714913084,0.063561616803698,0.0658213359519504,0.0664570219527647,0.0757125825030326,0.060002419144137,0.0563635521772778,0.0529605710283373,0.0533108834849915,0.05146473234996,0.0534532734466489,0.0480254480085562,0.0380216264383239,0.0738660278565901,51.48309872826928,10.44,10.44%
